Hu1_class0,Hu1_class1,Hu1_class2,Hu1_class3,Hu1_class4,Hu2_class0,Hu2_class1,Hu2_class2,Hu2_class3,Hu2_class4
0.3116475,0.19247414,0.372773147,0.208925609,0.586330206,0.604727565,0.747181791,0.477731972,0.242759269,0.720709699
0.561198117,0,0.279239963,0.167060334,0.467171906,0.973006616,0.573808081,0.272486528,0.54687923,0.606103745
0.583879216,0.708108865,0.697412178,0.750151829,0.723527921,0.36300663,0.456600034,0.41221362,0.499749043,0.492049513
0.623932472,0.752198248,0.726061665,0.626391966,0.793835763,0.321437245,0.469682485,0.41930755,0.313243322,0.54428555
0.630305759,0.434225826,0.367290141,0.329011212,0.394883101,0.645305571,0.15700079,0.097436961,0.066047689,0.122100434
0.630305759,0.396163854,0.375420506,0.352363328,0.445319437,0.645305571,0.133411785,0.112176305,0.081700997,0.163313203
0.563328716,0.434225826,0.367290141,0.329011212,0.70962812,0.267706074,0.15700079,0.097436961,0.066047689,0.440216414
0.54349542,0.295318293,0.260643781,0.253325773,0.868293517,0.249995609,0.037454569,0.00852911,0,0.734877565
0.563328716,0.823303615,0.769711553,0.55849322,0.885042812,0.267706074,0.995621431,0.592208631,0.39924014,0.787227679
0.447173444,1,0.683268884,0.7245277,0.30282959,0.167665373,1,0.504754189,0.535123414,0.541908843
