Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Hu7,class_class_0,class_class_1,class_class_2,class_class_3,class_class_4,set
0.3116475,0.604727565,0.824655423,0.958001861,1.0,2.07e-07,1.0,1.0,0.0,0.0,0.0,0.0,train
0.561198117,0.973006616,0.980425439,0.982858493,1.0,1.37e-07,1.78e-16,1.0,0.0,0.0,0.0,0.0,train
0.583879216,0.36300663,0.991117901,0.944397865,1.0,0.999999391,8.62e-15,1.0,0.0,0.0,0.0,0.0,train
0.623932472,0.321437245,0.950019908,0.988626127,1.78e-15,1.68e-07,1.0,1.0,0.0,0.0,0.0,0.0,train
0.630305759,0.645305571,0.746393283,0.808011611,1.84e-13,1.76e-06,2.24e-13,1.0,0.0,0.0,0.0,0.0,train
0.630305759,0.645305571,0.746393283,0.808011611,1.84e-13,1.76e-06,2.24e-13,1.0,0.0,0.0,0.0,0.0,train
0.563328716,0.267706074,0.944888833,0.78246326,1.0,0.99999504,5.33e-16,1.0,0.0,0.0,0.0,0.0,train
0.54349542,0.249995609,0.964056695,0.866663851,1.0,0.999997716,1.0,1.0,0.0,0.0,0.0,0.0,train
0.563328716,0.267706074,0.944888833,0.78246326,1.0,0.99999504,5.33e-16,1.0,0.0,0.0,0.0,0.0,train
0.447173444,0.167665373,0.90425553,0.870946127,1.0,0.999999219,2.85e-14,1.0,0.0,0.0,0.0,0.0,train
0.19247414,0.747181791,0.287570376,0.652547453,1.0,1.69e-06,1.3e-12,0.0,1.0,0.0,0.0,0.0,train
0.0,0.573808081,0.0,0.0,9e-12,2.26e-05,3.48e-11,0.0,1.0,0.0,0.0,0.0,train
0.708108865,0.456600034,0.90804772,0.888444598,5.2e-14,1.87e-06,3.66e-14,0.0,1.0,0.0,0.0,0.0,train
0.752198248,0.469682485,0.869132347,0.948109184,2e-14,6.41e-07,1.0,0.0,1.0,0.0,0.0,0.0,val
0.434225826,0.15700079,0.91291774,0.852862199,1.0,0.999998037,2.38e-14,0.0,1.0,0.0,0.0,0.0,train
0.396163854,0.133411785,0.868722645,0.717957,1.0,0.999994978,2.03e-14,0.0,1.0,0.0,0.0,0.0,train
