class,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Hu7
class_0,0.61461405,0.613902255,0.086993864,0.665340598,1,0.999998674,2.01E-13
class_0,0.57475534,0.566071685,0,0.51648951,1,0.999997722,3.75E-13
class_0,0.63364837,0.639766907,0.101392506,0.684780012,1,0.999998136,9.46E-14
class_0,0.629780108,0.635972712,0.090897813,0.655900493,1,0.999997957,1.16E-13
class_0,0.404514696,0.349205442,0.960825833,0.881126076,1.78E-16,0.999999371,7.73E-15
class_0,0.411980052,0.365020285,0.970940147,0.85916835,6.04E-15,0.999999166,6.22E-15
class_0,0.391175345,0.323687438,0.904642133,0.906502998,1,0.999999442,8.44E-15
class_0,0.401380273,0.363166204,0.950981453,0.865781892,8.97E-15,0.999999233,5.33E-15
class_0,0.358849125,0.291148287,0.841801772,0.944009376,1,0.999999871,3.73E-15
class_0,0.452169462,0.30158852,0.823487245,0.941523374,1,0.999999811,1
class_0,0.44430431,0.29574729,0.797377278,0.928794957,1,0.999999862,1
class_0,0.447618209,0.297680634,0.838132967,0.945084291,1,0.999999701,1
class_0,0.419958792,0.277328635,0.752496973,0.901699979,1,0.999999844,1
class_0,0.426885799,0.281194614,0.840687248,0.936719519,1,0.999999481,1
class_0,0.706561297,0.712461441,0.367421277,0.812927305,1,0.999999381,6.25E-14
class_0,0.790320544,0.832052697,0.546155962,0.987883673,1.78E-16,1,1.07E-15
class_0,0.65160243,0.621038989,0.27562191,0.728335765,1,0.999998743,1.06E-13
class_0,0.619045474,0.559519361,0.306587628,0.780126116,1,0.999998766,6.24E-14
class_0,0.706561297,0.712461441,0.367421277,0.812927305,1,0.999999381,6.25E-14
class_0,0.790320544,0.832052697,0.546155962,0.987883673,1.78E-16,1,1.07E-15
class_0,0.372023277,0.251214201,0.806865712,0.574263226,1,0.999995175,8.88E-16
class_0,0.376219908,0.255080077,0.790155787,0.596428232,1,0.999995735,5.51E-15
class_0,0.35581292,0.237962789,0.802516637,0.544690798,1,0.999994574,1
class_0,0.348307196,0.278726429,0.471511823,0.688120112,1,0.999996641,1
class_0,0.334439683,0.215300205,0.878453142,0.622811017,1,0.999995688,1
class_0,0.357034551,0.240091932,0.874852056,0.759527305,1,0.999997985,9.77E-16
class_0,0.354395168,0.236786667,0.909037461,0.763999697,1,0.999997796,1
class_0,0.322371884,0.21449937,0.773704077,0.750826415,1,0.999998635,2.25E-14
class_0,0.336385825,0.221722412,0.940109077,0.776637518,1,0.999997701,1
class_0,0.376219908,0.255080077,0.790155787,0.596428232,1,0.999995735,5.51E-15
class_0,0.35581292,0.237962789,0.802516637,0.544690798,1,0.999994574,1
class_0,0.334439683,0.215300205,0.878453142,0.622811017,1,0.999995688,1
class_0,0.244261405,0.162291459,0.711642289,0.761502571,1,0.999999258,2.58E-14
class_0,0.249010086,0.164534008,0.764353015,0.767563849,1,0.999998842,8.97E-15
class_0,0.228313604,0.149679769,0.759752952,0.811708198,1,0.999999425,1.21E-14
class_0,0.60540812,0.599285978,0.077170315,0.650585027,1,0.999998452,2.03E-13
class_0,0.605330096,0.60414869,0.062837244,0.622222064,1,0.999998464,2.49E-13
class_0,0.570445158,0.552611186,0.030798284,0.560451939,1,0.999997547,2.58E-13
class_0,0.618997964,0.61774069,0.078853589,0.648457367,1,0.999997783,9.45E-14
class_0,0.840441854,0.920421153,0.641701873,0.996617912,1.78E-16,0.999999992,0
class_0,0.65160243,0.621038989,0.27562191,0.728335765,1,0.999998743,1.06E-13
class_0,0.619045474,0.559519361,0.306587628,0.780126116,1,0.999998766,6.24E-14
class_0,0.252791162,0.167832386,0.746827046,0.756287859,1,0.999998858,1.39E-14
class_1,0.652731147,0.508741608,0.826907638,0.848089808,1,0.999999968,1
class_1,0.659863368,0.492415749,0.935138981,0.86203111,1,0.999999156,3.38E-15
class_1,0.666815755,0.502997443,0.8599478,0.842731685,1,0.999999348,1
class_1,0.627817995,0.460675614,0.9729487,0.91603024,1,0.999999436,2.04E-15
class_1,0.723788652,0.56808771,0.734125278,0.624151556,1,0.999997982,1
class_1,0.725341508,0.571379502,0.695095658,0.616604787,1,0.9999981,1
class_1,0.545170995,0.428550323,0.690001342,0.772715299,5.20E-14,1.88E-06,3.76E-14
class_1,0.531265428,0.41583943,0.565656453,0.730423467,2.82E-14,2.07E-06,1.00E-13
class_1,0.510753742,0.384877793,0.474712832,0.782160667,3.46E-14,1.87E-06,7.69E-14
class_1,0.516308846,0.417464963,0.83009796,0.758603855,2.90E-14,1.91E-06,1
